frame,latency_ms,sl_px,sl_y,sl_wait,tl_state,tl_near,tl_red_far,brake_level,tl_brake_req,cmd_speed,cmd_steer
1390,111.40918731689453,9.745408058166504,0.9583333134651184,False,RED,82.0,False,2,2,0.0,0.0
1391,110.59260368347168,14.793862342834473,0.9388889074325562,False,RED,82.0,False,2,2,0.0,0.0
1392,112.34521865844727,1.8422174453735352,0.9916666746139526,False,RED,81.0,False,2,2,0.0,0.0
1393,113.17682266235352,1.8422174453735352,0.9916666746139526,False,RED,81.0,False,2,2,0.0,0.0
1394,111.85383796691895,8.365145683288574,0.9638888835906982,False,RED,80.0,False,2,2,0.0,0.0
1395,110.33225059509277,7.011065483093262,0.9694444537162781,False,RED,80.0,False,2,2,0.0,0.0
1396,111.3736629486084,0.0,1.0,False,RED,82.0,False,2,2,0.0,0.0
1397,110.49199104309082,0.0,1.0,False,RED,81.0,False,2,2,0.0,0.0
1398,113.56210708618164,0.0,1.0,False,RED,79.0,False,2,2,0.0,0.0
1399,112.27011680603027,0.0,1.0,False,RED,78.0,False,2,2,0.0,0.0
1400,111.10353469848633,0.0,1.0,False,RED,78.0,False,2,2,0.0,0.0
1401,111.34696006774902,0.0,1.0,False,RED,79.0,False,2,2,0.0,0.0
1402,112.13064193725586,0.0,1.0,False,RED,81.0,False,2,2,0.0,0.0
1403,112.05840110778809,0.0,1.0,False,RED,77.0,False,2,2,0.0,0.0
1404,111.12332344055176,0.0,1.0,False,RED,79.0,False,2,2,0.0,0.0
1405,110.50581932067871,0.0,1.0,False,RED,80.0,False,2,2,0.0,0.0
1406,112.40100860595703,0.0,1.0,False,RED,79.0,False,2,2,0.0,0.0
1407,111.3591194152832,0.0,1.0,False,RED,77.0,False,2,2,0.0,0.0
1408,112.51568794250488,-1.0,-1.0,False,RED,80.0,False,2,2,0.0,0.0
1409,111.65571212768555,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1410,112.01214790344238,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1411,110.92209815979004,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1412,112.38288879394531,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
