frame,latency_ms,fit_aL,fit_bL,fit_cL,fit_aR,fit_bR,fit_cR,conf,half_width_px,stamp_sec,stamp_nsec,cte_rear_m,cte_near_m,theta_deg,curvature,conf_eff,lane_width_m,flags,d_near_m,conf_raw,seq,tl_state,stop_line_dist,crosswalk_dist,judgment_state,brake_level,cmd_speed,cmd_steer
795,52.969932556152344,0.0,0.0,0.0,0.00042637044680304825,0.06028532609343529,235.56666564941406,0.25,250.0,,,0.9316951036453247,1.2225486040115356,21.882102966308594,0.14212347567081451,0.25,-1.0,16.0,0.7803999781608582,0.25,16.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
796,48.67148399353027,0.0004284580936655402,0.03640151023864746,-60.70192337036133,0.000427414255682379,0.048343416303396225,240.93124389648438,1.0,245.0,,,0.52593594789505,0.7663295269012451,17.941085815429688,0.14264538884162903,0.0,1.8402189016342163,4.0,0.7803999781608582,1.0,17.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
797,41.77379608154297,0.0004065976245328784,0.0448664128780365,-57.533592224121094,0.0004060757055412978,0.05083736777305603,244.8802490234375,1.0,240.10000610351562,,,0.5212236642837524,0.755731999874115,17.487497329711914,0.13544555008411407,1.0,1.8296929597854614,0.0,0.7803999781608582,1.0,18.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
798,39.834022521972656,0.00040577974868938327,0.03386305645108223,-48.09046173095703,0.0004055188037455082,0.0368485301733017,252.46340942382812,1.0,235.29800415039062,,,0.5128746032714844,0.7385671138763428,16.810131072998047,0.13521642982959747,1.0,1.810928225517273,0.0,0.7803999781608582,1.0,19.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
799,40.20547866821289,0.0004154017078690231,0.010864151641726494,-34.52246856689453,0.00041527123539708555,0.012356890365481377,262.72760009765625,1.0,230.592041015625,,,0.5049381256103516,0.7186513543128967,15.893549919128418,0.13844549655914307,0.0,1.7873029708862305,2.0,0.7803999781608582,1.0,20.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
800,33.90169143676758,0.000449999060947448,-0.04586269333958626,-13.6431245803833,0.00041527123539708555,0.012356890365481377,262.72760009765625,0.75,225.98019409179688,,,0.5090836882591248,0.710924506187439,14.989242553710938,0.14421170949935913,0.0,1.7718491554260254,2.0,0.7803999781608582,0.75,21.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
801,38.59591484069824,0.000408014515414834,-0.03290422260761261,-7.5537004470825195,0.00039166142232716084,0.0037057131994515657,273.4525146484375,1.0,221.46060180664062,,,0.5050628781318665,0.693149983882904,13.946378707885742,0.13327932357788086,0.0,1.7639048099517822,2.0,0.7803999781608582,1.0,22.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
802,40.34709930419922,0.0003962834889534861,-0.03274435177445412,1.4897047281265259,0.0003881069424096495,-0.014439382590353489,284.01153564453125,1.0,217.03138732910156,,,0.4890742301940918,0.6671120524406433,13.187390327453613,0.1307317316532135,0.0,1.7340646982192993,2.0,0.7803999781608582,1.0,23.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
803,52.490949630737305,0.0003723806294146925,-0.020402854308485985,6.440497398376465,0.0003881069424096495,-0.014439382590353489,284.01153564453125,0.75,212.6907501220703,,,0.4730726480484009,0.649893581867218,13.095646858215332,0.12674793601036072,0.0,1.6996278762817383,2.0,0.7803999781608582,0.75,24.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
804,48.984527587890625,0.0003834605449810624,-0.050097301602363586,22.1295166015625,0.00039132367237471044,-0.04711556434631348,300.4313659667969,1.0,208.4369354248047,,,0.47027087211608887,0.6278316378593445,11.64793872833252,0.12913070619106293,0.0,1.6869118213653564,2.0,0.7803999781608582,1.0,25.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
