frame,latency_ms,vote_d,vote_psi,vote_kappa,vote_width,conf,vote_sep,vote_mag,vote_bal,left_ok,right_ok,vote_mode,solve_ms,cte_rear_m,cte_near_m,theta_deg,curvature,conf_eff,lane_width_m,flags,d_near_m,conf_raw,seq,stop_line_dist,crosswalk_dist,judgment_state,cmd_speed,cmd_steer
36,25.30646324157715,-0.10118646919727325,-0.009885155595839024,0.0,3.4800000190734863,0.5100007653236389,0.9999992847442627,0.6849307417869568,0.4892045557498932,1.0,1.0,1.0,0.7382090091705322,-0.10118646919727325,-0.10960184037685394,-0.5663776993751526,0.0,0.5100007653236389,3.4800000190734863,0.0,0.8512864112854004,0.5100007653236389,37.0,1.9781928062438965,-1.0,PASS,2.0,0.0
37,25.326251983642578,-0.1020381823182106,-0.0093411048874259,0.0,3.4800000190734863,0.5098808407783508,0.9999992847442627,0.6835985779762268,0.49175575375556946,1.0,1.0,1.0,0.7342619895935059,-0.1020381823182106,-0.10999036580324173,-0.5352059006690979,0.0,0.5098808407783508,3.4800000190734863,0.0,0.8512864112854004,0.5098808407783508,38.0,1.9779889583587646,-1.0,PASS,2.0,0.0
38,24.984121322631836,-0.10319066792726517,-0.008132239803671837,0.0,3.4800000190734863,0.51197749376297,0.9999992847442627,0.6889013648033142,0.48635998368263245,1.0,1.0,1.0,0.7541589736938477,-0.10319066792726517,-0.11011368781328201,-0.46594300866127014,0.0,0.51197749376297,3.4800000190734863,0.0,0.8512864112854004,0.51197749376297,39.0,1.9779889583587646,-1.0,PASS,2.0,0.0
39,24.821043014526367,-0.10260967165231705,-0.008632910437881947,0.0,3.4800000190734863,0.5118334889411926,0.9999992847442627,0.6885254383087158,0.4867532253265381,1.0,1.0,1.0,0.7476670145988464,-0.10260967165231705,-0.10995893180370331,-0.4946293234825134,0.0,0.5118334889411926,3.4800000190734863,0.0,0.8512864112854004,0.5118334889411926,40.0,1.9783965349197388,-1.0,PASS,2.0,0.0
40,28.951406478881836,-0.10155240446329117,-0.009236021898686886,0.0,3.4800000190734863,0.5114632248878479,0.9999992847442627,0.6887654662132263,0.4851597845554352,1.0,1.0,1.0,1.6663399934768677,-0.10155240446329117,-0.10941512882709503,-0.5291850566864014,0.0,0.5114632248878479,3.4800000190734863,0.0,0.8512864112854004,0.5114632248878479,41.0,1.9485679864883423,-1.0,PASS,2.0,0.0
41,24.78504180908203,-0.10220663249492645,-0.008827044628560543,0.0,3.4800000190734863,0.5122005939483643,0.9999992847442627,0.6895108222961426,0.48569321632385254,1.0,1.0,1.0,0.7400919795036316,-0.10220663249492645,-0.10972116887569427,-0.5057523846626282,0.0,0.5122005939483643,3.4800000190734863,0.0,0.8512864112854004,0.5122005939483643,42.0,1.9781928062438965,-1.0,PASS,2.0,0.0
42,24.59716796875,-0.10144905745983124,-0.011153995990753174,0.0,3.4800000190734863,0.5090603232383728,0.9999992847442627,0.6824879050254822,0.49177873134613037,1.0,1.0,1.0,0.7370569705963135,-0.10144905745983124,-0.11094469577074051,-0.6390768885612488,0.0,0.5090603232383728,3.4800000190734863,0.0,0.8512864112854004,0.5090603232383728,43.0,1.9783965349197388,-1.0,PASS,2.0,0.0
43,25.859832763671875,-0.10130030661821365,-0.009355586022138596,0.0,3.4800000190734863,0.5109225511550903,0.9999992847442627,0.6873425841331482,0.48666104674339294,1.0,1.0,1.0,0.740103006362915,-0.10130030661821365,-0.10926482081413269,-0.5360355973243713,0.0,0.5109225511550903,3.4800000190734863,0.0,0.8512864112854004,0.5109225511550903,44.0,1.9781928062438965,-1.0,PASS,2.0,0.0
44,24.910926818847656,-0.10219601541757584,-0.009055061265826225,0.0,3.4800000190734863,0.5115057826042175,0.9999992847442627,0.6878483295440674,0.4872637391090393,1.0,1.0,1.0,0.729062020778656,-0.10219601541757584,-0.10990467667579651,-0.5188167691230774,0.0,0.5115057826042175,3.4800000190734863,0.0,0.8512864112854004,0.5115057826042175,45.0,1.9781928062438965,-1.0,PASS,2.0,0.0
45,28.337478637695312,-0.10244672000408173,-0.009148410521447659,0.0,3.4800000190734863,0.5110834836959839,0.9999992847442627,0.6865571141242981,0.4888308048248291,1.0,1.0,0.0,1.7532320022583008,-0.10244672000408173,-0.11023485660552979,-0.5241653323173523,0.0,0.5110834836959839,3.4800000190734863,0.0,0.8512864112854004,0.5110834836959839,46.0,1.9783965349197388,-1.0,PASS,2.0,0.0
46,26.367902755737305,-0.1027870774269104,-0.00974133051931858,0.0,3.4800000190734863,0.5111104846000671,0.9999992847442627,0.6866236329078674,0.4887652099132538,1.0,1.0,1.0,0.7528160214424133,-0.1027870774269104,-0.11107999831438065,-0.5581371188163757,0.0,0.5111104846000671,3.4800000190734863,0.0,0.8512864112854004,0.5111104846000671,47.0,1.9781928062438965,-1.0,PASS,2.0,0.0
